"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.46,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.000184370848,0,NA,0,NA,2.59267975531946e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1,0.998869672868968
0.47,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.0011445056917,0,NA,0,NA,2.04380060035678e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1,0.999747019061261
0.48,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00161581801881,0,NA,0,NA,1.01593828599998e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487499999999956,0.03,1,1.00012873998218
0.49,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00195513448031,0,NA,0,NA,1.37032090443509e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1,1.00041513002812
0.5,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00266421802615,0,NA,0,NA,2.91335163213232e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1,1.00112847020676
0.51,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00409079443354,0,NA,0,NA,3.86172470160798e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449999999999822,0.03,1,1.00259743877275
0.52,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00622958330051,0,NA,0,NA,3.77607091333635e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1.00545454545455,1.00477183824073
0.53,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.00871193916345,0,NA,0,NA,2.86299430015879e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0355555555555415,1.01,1.00724634954956
0.54,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01096940307896,0,NA,0,NA,2.11704759546311e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,1.01,1.00944735930978
0.55,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01245729828252,0,NA,0,NA,2.48319530434863e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,1.01,1.01085326427742
0.56,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01281309224667,0,NA,0,NA,3.03014735671213e-05,1.5,1.5,1,1.01281309224667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422222222222047,0.04,1.01,1.01113617012579
0.57,"Athlete 1","Training","",1,2021-05-04 00:02:16,1.01190870036868,0,NA,0,NA,3.28592171550863e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0362499999999867,1.01,1.0102014150725
