ms,xacc,yacc,zacc
4821,0.05,0.02,1
4829,0.05,0.01,1
4837,0.05,0.02,1
4848,0.05,0.02,1
4857,0.04,0.02,1.01
4865,0.05,0.03,1.01
4873,0.04,0.02,1.01
4882,0.04,0.02,1.01
4890,0.05,0.02,1.01
4901,0.05,0.02,1.01
4909,0.05,0.02,1.01
4918,0.05,0.02,1.01
4926,0.05,0.02,1.01
4934,0.04,0.02,1.01
4942,0.04,0.02,1.01
4951,0.04,0.02,1
4962,0.04,0.01,1
4971,0.04,0.01,1
4980,0.04,0.01,1
4988,0.04,0,1.01
4997,0.04,0.01,1
5006,0.04,0.01,1
5017,0.04,0,1
5025,0.04,0,1
5034,0.05,0.01,1
5042,0.05,0.01,1
5050,0.05,0.01,1
5058,0.05,0.01,1
5067,0.05,0.01,1
5078,0.05,0.01,1
5086,0.06,0.01,1
5095,0.05,0.01,1
5103,0.05,0.02,1
5111,0.05,0.02,1
5120,0.05,0.02,1
5128,0.05,0.01,1
5139,0.06,0.02,1
5147,0.06,0.02,1.01
5156,0.06,0.01,1
5164,0.06,0.02,1.01
5172,0.06,0.01,1.01
5181,0.06,0.01,1
5192,0.05,0.01,1.01
5200,0.05,0.01,1.01
5208,0.05,0.01,1
5217,0.05,0.01,1.01
5225,0.04,0,1.01
5233,0.05,0.01,1.01
5241,0.05,0.01,1.01
5252,0.05,0.01,1.01
5261,0.05,0.01,1.01
5269,0.04,0.01,1
5277,0.04,0.01,1.01
5286,0.04,0,1
5294,0.04,0,1
5302,0.04,0,1.01
5313,0.04,0.01,1.01
5322,0.04,0.01,1.01
5330,0.05,0.01,1.01
5338,0.05,0.01,1
5346,0.05,0.01,1
5355,0.05,0.01,1
5366,0.05,0.02,1.01
5374,0.06,0.02,1.01
5383,0.05,0.01,1.01
5391,0.05,0.01,1.01
5399,0.05,0.01,1
5407,0.05,0.01,1
5416,0.05,0.01,1
5427,0.05,0.01,1
5435,0.06,0.02,1
5443,0.05,0.01,1
5452,0.05,0.02,1
5460,0.05,0.02,1
5468,0.05,0.02,1
5480,0.05,0.02,1.01
5488,0.05,0.01,1.01
5496,0.05,0.01,1.01
5505,0.05,0,1.01
5513,0.05,0,1.01
5521,0.05,0.01,1
5529,0.05,0.01,1
5541,0.05,0.02,1.01
5550,0.05,0.02,1.01
5559,0.05,0.02,1.01
5567,0.05,0.02,1
5576,0.06,0.02,1
5584,0.05,0.02,1
5593,0.06,0.02,1
5604,0.06,0.02,1
5613,0.05,0.02,1.01
5621,0.05,0.02,1.01
5629,0.06,0.02,1.01
5637,0.05,0.02,1
5646,0.05,0.01,1
5654,0.05,0.01,1
5665,0.05,0.01,1
5673,0.05,0.01,1.01
5682,0.05,0.01,1.01
5690,0.05,0.01,1
5698,0.05,0.01,1.01
5706,0.04,0.01,1.01
5717,0.05,0.01,1
5726,0.05,0.01,1.01
5734,0.04,0.01,1.01
5742,0.04,0.01,1.01
5751,0.03,0.01,1.01
5759,0.03,0.01,1
5767,0.03,0.01,1
5778,0.03,0.01,1
5786,0.03,0,1
5795,0.03,0,1
5803,0.03,0.01,1
5811,0.04,0.01,1.01
5820,0.04,0.01,1.01
5831,0.04,0.01,1.01
5839,0.04,0.01,1.01
5848,0.03,0.02,1.01
5856,0.03,0.02,1.02
5864,0.03,0.03,1.02
5873,0.03,0.03,1.01
5881,0.04,0.02,1.01
5892,0.04,0.02,1
5901,0.05,0.02,1
5909,0.05,0.03,1.01
5917,0.05,0.03,1.01
5926,0.05,0.03,1
5934,0.06,0.03,1
5942,0.06,0.03,0.99
5953,0.06,0.03,0.99
5962,0.06,0.03,0.99
5970,0.07,0.03,1
5978,0.07,0.02,0.99
5986,0.07,0.02,0.99
5995,0.07,0.02,0.99
6006,0.07,0.02,0.99
6014,0.07,0.02,0.99
6023,0.07,0.02,0.99
6031,0.07,0.01,1
6039,0.07,0.02,1
6047,0.06,0.01,1
6056,0.07,0.02,1.01
6067,0.07,0.01,1.01
6075,0.06,0.01,1.01
6084,0.06,0.01,1.01
6092,0.06,0.01,1.01
6100,0.06,0,1.01
6108,0.06,0,1.01
6116,0.05,0,1.01
6127,0.05,-0.01,1
6136,0.05,0,1
6144,0.05,0,1
6152,0.04,0,1.01
6161,0.04,0,1.01
6168,0.04,0,1.02
6180,0.04,0,1.01
6189,0.03,0,1.01
6198,0.04,0.01,1.01
6206,0.03,0.02,1.01
6215,0.03,0.01,1.01
6224,0.03,0.01,1.01
6232,0.04,0.02,1
6244,0.04,0.01,1
6252,0.05,0.02,1
6260,0.05,0.02,0.99
6269,0.05,0.03,1
6277,0.05,0.02,1
6285,0.05,0.03,1.01
6297,0.05,0.03,1
6305,0.06,0.02,1
6313,0.06,0.02,1.01
6321,0.06,0.03,1
6330,0.07,0.03,1.01
6338,0.07,0.03,1
6346,0.08,0.03,1
6358,0.07,0.03,1
6366,0.08,0.03,1
6374,0.07,0.03,1
6383,0.07,0.03,0.99
6391,0.07,0.03,0.99
6399,0.07,0.03,0.99
6408,0.08,0.03,0.99
6419,0.08,0.03,1
6427,0.08,0.03,1
6435,0.07,0.03,1
6444,0.07,0.03,1.01
6452,0.06,0.03,1.01
6460,0.06,0.03,1.01
6472,0.06,0.03,1.01
6480,0.06,0.03,1.01
6488,0.06,0.02,1.01
6497,0.05,0.02,1.01
6505,0.05,0.03,1
6513,0.05,0.03,1
6522,0.04,0.02,1
6533,0.04,0.01,1.01
6541,0.04,0.01,1.01
6550,0.04,0.01,1.01
6558,0.04,0.02,1.01
6566,0.04,0.02,1.01
6575,0.04,0.02,1.01
6583,0.03,0.02,1.01
6595,0.03,0.02,1.01
6604,0.04,0.02,1
6613,0.03,0.02,1.01
6621,0.03,0.03,1
6630,0.03,0.02,1
6638,0.03,0.02,1
6649,0.04,0.02,1
6658,0.04,0.01,1
6666,0.04,0.02,1.01
6674,0.04,0.01,1.01
6683,0.04,0.01,1.01
6691,0.04,0.02,1.01
6699,0.04,0.02,1.01
6710,0.04,0.02,1.01
6719,0.05,0.02,1.01
6727,0.04,0.02,1
6735,0.04,0.01,1
6743,0.05,0.01,1.01
6752,0.05,0.02,1.01
6760,0.04,0.01,1.01
6771,0.04,0.01,1.01
6780,0.04,0.01,1.01
6788,0.05,0.01,1.01
6796,0.05,0.01,1
6804,0.05,0.01,1
6813,0.04,0.01,1
6824,0.04,0.02,1
6832,0.04,0.02,1
6841,0.04,0.02,1.01
6849,0.04,0.02,1.01
6857,0.05,0.01,1
6866,0.04,0.01,1
6874,0.04,0.01,1
6885,0.05,0.01,1
6893,0.05,0.01,1
6902,0.05,0.02,1
6910,0.05,0.02,1
6918,0.05,0.02,1
6927,0.05,0.02,1
6938,0.05,0.02,1
6946,0.05,0.02,1.01
6954,0.05,0.02,1.01
6963,0.05,0.01,1.01
6971,0.05,0.02,1.01
6979,0.05,0.02,1
6988,0.06,0.02,1.01
7004,0.05,0.02,1
7012,0.05,0.02,1
7020,0.05,0.02,1
7028,0.04,0.02,1
7037,0.04,0.03,1.01
7045,0.04,0.03,1.01
7053,0.04,0.03,1.01
7066,0.04,0.04,1.01
7074,0.04,0.04,1.01
7083,0.05,0.03,1.01
7091,0.05,0.02,1
7099,0.04,0.02,1
7108,0.04,0.02,1
7119,0.03,0.02,1
7127,0.03,0.03,1
7135,0.03,0.04,1.01
7144,0.03,0.04,1.01
7152,0.04,0.03,1.01
7160,0.05,0.02,1.01
7169,0.06,0.01,1
7180,0.07,0,1
7189,0.08,0.01,1
7197,0.08,0.01,1
7205,0.09,0.01,0.99
7214,0.09,0,1
7222,0.09,0,1
7233,0.09,0,1
7243,0.09,0,1
7251,0.08,0,1.01
7260,0.08,0,1.01
