"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.28,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02821340077086,0,NA,0,NA,3.8441326474573e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.68,0.775555555555542,0.775305098000122
0.29,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03126808672329,0,NA,0,NA,2.82742875203712e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.675,0.775,0.776956053153004
0.3,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03357000311301,0,NA,0,NA,2.00853318075411e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.674444444444459,0.774444444444458,0.777614496168041
0.31,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03454634118657,0,NA,0,NA,1.43154565131484e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.68,0.78,0.777433198878139
0.32,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03408932831326,0,NA,0,NA,1.66455842755226e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455555555556678,0.68,0.78,0.776715075894461
0.33,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03252245160076,0,NA,0,NA,2.48955540705279e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.686666666666751,0.773333333333249,0.775818314594297
0.34,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.03052241683986,0,NA,0,NA,2.73435840487622e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.682222222222166,0.77,0.775071239253496
0.35,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02889580819212,0,NA,0,NA,1.75915813793025e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041111111111083,0.671111111111083,0.778888888888917,0.774704155026691
0.36,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02820025837568,0,NA,0,NA,1.07673782327821e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.67,0.78,0.774821738736416
0.37,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02837090689709,0,NA,0,NA,4.23740654192155e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.67,0.772222222222166,0.775394857026218
0.38,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02859554964734,0,NA,0,NA,7.89592659005461e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048888888888917,0.67,0.77,0.776228303788639
0.39,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02759135533834,0,NA,0,NA,0.000110396263416622,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.679000000000023,0.779000000000023,0.776934375095772
0.4,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.02420116858909,0,NA,0,NA,0.000127870028210718,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.67,0.78,0.777006022493734
