"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw"
0.3,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01128513029176,0,NA,0,NA,1.72611851615508e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0337499999998934,1.01
0.31,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00961740866379,0,NA,0,NA,1.5119506799719e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.32,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.0082000914241,0,NA,0,NA,1.50324411047218e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.33,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00748173982344,0,NA,0,NA,1.69802936559596e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.34,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00755239690643,0,NA,0,NA,1.65434496854751e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.35,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00805423839233,0,NA,0,NA,1.13047355878477e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.36,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00835302474181,0,NA,0,NA,8.36170157967348e-06,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.37,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00789996688852,0,NA,0,NA,1.77814096551757e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.38,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00653928865183,0,NA,0,NA,2.65034956044608e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.00249999999993
0.39,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.0045581804439,0,NA,0,NA,2.89000848817549e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.4,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00249032435761,0,NA,0,NA,2.39650374944169e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412499999999645,0.03,1
0.41,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00085617727529,0,NA,0,NA,1.43924538274635e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488888888886643,0.03,1
0.42,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00001169498469,0,NA,0,NA,1.13170055479413e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1
0.43,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00013490489806,0,NA,0,NA,2.00495435701322e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0350000000001421,1
0.44,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00126015564782,0,NA,0,NA,2.70093347558156e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475000000000711,0.04,1
0.45,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00327050474808,0,NA,0,NA,2.89385218783452e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0327272727272164,1
